username,taken_at_tpe,post_date,text,like_count,reply_count,repost_count,quote_count,reshare_count,permalink,search_keyword,audience_type,post_category,scrape_date
nininia.ch,2026-04-19 18:06:54,2026-04-19,"包車機場接送真的太舒適
終於不用辛苦拖著行李搭地鐵了
這次找了日本通包車

日本在地專業團隊
提供全日本包車接送.票券餐廳代訂
北海道及沖繩皆有服務

可惜這次沒有再去富士山🗻
也想去沒去過的鐮倉走走
留著下一次(⁎⁍̴̛ᴗ⁍̴̛⁎)

@japantravelll",5,1,0,0,0,https://www.threads.net/@nininia.ch/post/DXTy32diQz_,日本包車,t1,,2026-04-20
different_life03,2026-04-19 13:37:14,2026-04-19,"去大阪玩什麼，8个不一样景点

📍大阪遊學、日本包車私訊我 @different_life03 
📍日本包車遊學加line @yfp7166e

#東京#包車 #遊學 #神社 #日本京都",18,0,0,1,56,https://www.threads.net/@different_life03/post/DXTUAV7Agqm,日本包車,t1,,2026-04-20
ddgd_travel,2026-04-19 17:27:15,2026-04-19,"櫻花季的倉敷美觀🌸
總給人一種歲月靜好的感覺₊ ⊹❀

四國/中國地區 包車旅遊也歡迎詢問🤍
🅖🅞🅞🅓 🅓🅐🅨
🚌關東｜關西｜九州｜名古屋北陸｜北海道地區 ｜東北地區
歡迎詢問包車旅遊

#日本包車 #日本岡山 #日本旅遊 #日日好日 #包車旅遊推薦",0,0,0,0,0,https://www.threads.net/@ddgd_travel/post/DXTuVbriTnG,日本包車,t1,,2026-04-20
yamocai,2026-04-19 09:34:21,2026-04-19,"從那霸下郵輪，在沖繩大概只有6小時⏱️
打算直接包車🚐
有沒有推薦「一定要去」的景點？順便想買伴手禮🙏",12,9,0,0,1,https://www.threads.net/@yamocai/post/DXS4ODVj-M6,沖繩包車,t1,,2026-04-20
tokyo_ezgo,2026-04-19 07:16:27,2026-04-19,"遊河口湖，很建議至少安排一個晚上住宿，除了可以悠閒的囊括周邊所有招牌景點，還可以順便遊五湖其中之一。

當然你只想看看富士山，打卡有名景點，那你也可以考慮包車一日遊，一整天下來，幾乎可以玩遍河口湖，回程還可以去御殿場Outlet 血拼一下。

人數充足，其實包車真的不貴，尤其是一家老小出門，從飯店出發，再送你回飯店，如此輕鬆自在愜意的旅遊方式，豈不快哉。

心動了嗎？請聯繫我們Tokyo EZGO 。",111,65,22,0,4,https://www.threads.net/@tokyo_ezgo/post/DXSocCtk_K_,富士山包車,t1,,2026-04-20
tangping_68,2026-04-19 11:00:29,2026-04-19,"北海道自由行

有什麼「一定不要去」的景點嗎😂",280,198,15,1,449,https://www.threads.net/@tangping_68/post/DXTCE7nHxwj,富士山包車,t2,,2026-04-20
liubashou113,2026-04-19 10:35:08,2026-04-19,"帶台灣小情侶遊富士山。

第一次來，盡量不讓她們失望而歸。
我們早早的出發，在其他人還堵在高速上時候，我們已經逛了兩個景點。

雖然是週末假日，但我們還是順利避開了人潮。

#富士山能見度 #富士山攻略 #富士山包車 #富士山日出 #田貫湖",14,0,0,0,1,https://www.threads.net/@liubashou113/post/DXS_K-8EzyJ,富士山包車,t1,,2026-04-20
iiiiii_va_,2026-04-19 21:19:19,2026-04-19,"想找福岡郊區單日包車
人數6人，想請問有推薦的包車嗎
會再一一詢價🙇🏻‍♀️！",5,5,0,0,0,https://www.threads.net/@iiiiii_va_/post/DXUI5YqD84V,福岡包車,t1,,2026-04-20
tsui_zhi_yi,2026-04-19 23:05:23,2026-04-19,"8月底或9月初想去福岡 熊本 由布院 阿蘇
想問各位有經驗的人可以告訴我怎麼安排比較好嗎？灰常感恩的心🥹",4,6,0,0,0,https://www.threads.net/@tsui_zhi_yi/post/DXUVCVhE646,福岡包車,t2,,2026-04-20
hpj___0413,2026-04-19 16:20:52,2026-04-19,"高雄福岡7月來回要27000！
長榮為什麼不直接去搶😍",1021,92,0,0,449,https://www.threads.net/@hpj___0413/post/DXTmveMk4kA,福岡包車,t2,,2026-04-20
