post_id,username,is_verified,text,like_count,reply_count,repost_count,quote_count,reshare_count,is_reply,permalink,taken_at,timestamp,search_keyword,post_date,taken_at_tpe,is_zh_tw,is_commercial,post_category
3865540510832878143_63252678885,niniii___1007,False,"不知道會不會實現 
但先記錄一下昨晚睡前腦中浮出的想法

目前在澳洲打工度假，第一年簽證到5月底結束
結束後要帶著存到的至少三十萬玩三個月

要飛去印尼 然後往上玩新加坡、馬來西亞、柬埔寨、寮國/越南、廣西、成都、重慶、西安、川西、北京、內蒙古",19,1,0,0,0,False,https://www.threads.net/@niniii___1007/post/DWlKJ01E2I_,1775028359,2026-04-01 07:25:59+00:00,越南簽證,2026-04-01,2026-04-01 15:25:59,True,False,越南簽證/快速通關
3865477257767232395_63081331161,wei_6201,False,"越南簽證
歡迎詢問",0,1,0,0,0,False,https://www.threads.net/@wei_6201/post/DWk7xX0kSOL,1775020819,2026-04-01 05:20:19+00:00,越南簽證,2026-04-01,2026-04-01 13:20:19,True,False,越南簽證/快速通關
3865077310227978814_63430066910,1017_cing,False,"前幾天試著自己申請的越南簽證
順利申請到了😆😆😆😆
嗚嗚省下的代辦費可以吃牛肉河粉
真的沒有想像中困難",49,10,0,0,4,False,https://www.threads.net/@1017_cing/post/DWjg1Xpj5o-,1774973141,2026-03-31 16:05:41+00:00,越南簽證,2026-03-31,2026-04-01 00:05:41,True,False,越南簽證/快速通關
3865728612415273452_73231892046,flyfree0920,False,這次某些原因在戰爭前兩週取消了阿聯酋，把機票換成越航由胡志明轉機到歐洲，買完以後查了一下官網發現應該符合參加免費的半日遊資格，就寫email 到越航台北服務處，要稱讚真的是很棒的效率，很快就幫忙確認且訂好半日遊，內容包括免費簽證、行程、餐點（中餐或晚餐）、住宿休息、與機場接送。一下飛機走沒幾步就有人舉姓名牌非常快速就把我認領走，只要攜帶一張2寸照片抵達後有專人協助，簽證五分鐘就好了😂辦好後先去排移民關出去，他們交接的很好，有人會認得你，馬上就跑來領走，繼續下一關卡，最後就是把你交到導遊手上開啟半日遊的行程，講解也是很專業，吃什麼也是可以跟導遊討論，大概平均每人吃喝了13萬越南盾，然後回飯店約定一個接回機場的時間。整個體驗很順暢又有品質，挺出乎意料的。,3,0,0,0,0,False,https://www.threads.net/@flyfree0920/post/DWl07EFE3ns,1775050783,2026-04-01 13:39:43+00:00,越南簽證,2026-04-01,2026-04-01 21:39:43,True,False,越南簽證/快速通關
3861446170972379363_64758384229,jj_foodieandtravel,False,"在線急求問
有沒有人去越南出發前一週
發現簽證名字有問題
已經沒有出錯的餘地
我自己有問了協助代辦處理的單位
但現在詐騙很多，又怕被詐騙簽證還沒辦好
還是我應該現在馬上重辦？
能不能有過來人來回答一下",6,16,0,0,0,False,https://www.threads.net/@jj_foodieandtravel/post/DWWnNVsGdjj,1774540276,2026-03-26 15:51:16+00:00,越南簽證,2026-03-26,2026-03-26 23:51:16,True,False,越南簽證/快速通關
3866187923046213593_67182194284,blossom_visa,False,"明天要出發峴港，剛剛終於順利拿到簽證！

昨晚還很緊張查了好多急件催簽的代辦，台灣的都超級貴（尤其越南簽證王，根本暴利），嚇歪我🤪

後來找到一個代辦，比芳蓉還便宜一點點（因為芳蓉回覆太慢不然我本來已經篤定要找她催簽），重點是人非常公道～～

這個代辦知道我是這週一申請的，就老實跟我說通常3個工作天就能拿到簽證，叫我先不用催簽，如果今天沒拿到再緊急走批文。結果剛剛就順利收到簽證啦，現省一筆✌🏻

以下分享價格給大家參考：
隔日晚上6點出電子簽：$1500（不含自己申請的25美金）
隔日中午出批文：$900（到當地還要給海關25美金，不需另外申請電子簽，類似落地簽的概念）

有需要的人可以私我～不是詐騙！！！🤣🤣",14,11,0,0,4,False,https://www.threads.net/@blossom_visa/post/DWndW6cEyfZ,1775105537,2026-04-02 04:52:17+00:00,越南簽證,2026-04-02,2026-04-02 12:52:17,True,False,越南簽證/快速通關
3866161735404725710_39395704744,gola_visa_booking,False,"欸，這幾年去越南旅遊真的超夯，但拜託機票訂完第一件事先看簽證！
真的不要到機場才在那邊哭🥲

Gola編專業提醒一下：
📍 台灣 / 中國 / 香港 / 澳門 旅客
必須申請「越南電子簽 (E-visa)」才能入境唷！最長可停留 90 天！
📍 新加坡 / 馬來西亞 旅客
超幸運！享有 30 天免簽入境。但超過一樣要乖乖辦手續唷！

雖然電子簽可以自己上網弄，但最煩的就是資料填錯被退件，又要重新等好幾天

如果你是那種懶得研究細節，或是出發時間很趕的人，可以交給我們專業的來唷！
最快一個工作天就能拿到，還有人幫你檢查資料，真的不需要為了省一點點手續費去冒被退件的風險吧？

畢竟機票跟飯店都訂了，卡在簽證真的會嘔死🫠🫠
臨時起意決定去越南的人，別說我沒提醒你 → https://www.golavisa.co/

你們上次出發前多久才想到辦簽證？",32,15,4,1,29,False,https://www.threads.net/@gola_visa_booking/post/DWnXZ1TAaXO,1775102415,2026-04-02 04:00:15+00:00,越南簽證,2026-04-02,2026-04-02 12:00:15,True,False,越南簽證/快速通關
3866433871167997288_71422163697,lttltc,False,"不懂就問
4月1號上網填咗資料，4月6號夜晚出發，有可能出到簽證嗎？ 
上網睇正常三至五日，但撞正復活節假期，紅日呢啲計唔計工作日？請問係跟香港定越南嘅紅日？ 
如果Touch Wood簽唔到，唯一方法係落地簽嗎？",0,5,0,0,1,False,https://www.threads.net/@lttltc/post/DWoVR7egcVo,1775134856,2026-04-02 13:00:56+00:00,越南簽證,2026-04-02,2026-04-02 21:00:56,True,False,越南簽證/快速通關
3866293400614688052_63231531687,christine_in78,False,我越南簽證1200還是1400而已耶,0,1,0,0,0,True,https://www.threads.net/@christine_in78/post/DWn1V0FE1U0,1775118111,2026-04-02 08:21:51+00:00,越南簽證,2026-04-02,2026-04-02 16:21:51,True,False,越南簽證/快速通關
3867133065194258907_69006617633,cheweii1995,False,"你越南簽證到什麼時候？要檢查一下喔！！
我上次也是改隔天，賠班機延誤唷，共$10000（4hr是$5000）",0,1,0,0,0,True,https://www.threads.net/@cheweii1995/post/DWq0QiqEkHb,1775218207,2026-04-03 12:10:07+00:00,越南簽證,2026-04-03,2026-04-03 20:10:07,True,False,越南簽證/快速通關
3867803476671159506_68706389296,kangcandy.tw,False,想詢問辦理越南電子簽的前輩們，match 度64的話會過簽嗎？照片昨天才剛拍。但護照明年才到期，這樣要怎麼辦呀= =,2,11,0,0,0,False,https://www.threads.net/@kangcandy.tw/post/DWtMsUAAVzS,1775298126,2026-04-04 10:22:06+00:00,越南簽證,2026-04-04,2026-04-04 18:22:06,True,False,越南簽證/快速通關
