username,taken_at_tpe,post_date,text,like_count,reply_count,repost_count,quote_count,reshare_count,permalink,search_keyword,audience_type,post_category,scrape_date
worldsimking,2026-04-19 13:17:31,2026-04-19,"🇻🇳 飛胡志明市注意！

2026 年 4 月中開始，部分外籍旅客入境新山一國際機場前，要先完成 Online 入境申報，不然到現場可能會卡關。

適用對象：
✔ e-Visa
✔ 實體簽
✔ 落地簽
✔ 越僑證

不適用：
✘ 越南國籍
✘ 轉機旅客

出發前先做好 3 件事：

1. 到官方網站填寫
  https://prearrival.immigration.gov.vn/

2. 先準備好
 ・護照資料
 ・抵達航班編號
 ・簽證編號
 ・越南住宿地址

3. 送出後一定要把 QR Code 截圖存好
  不要只存 Email，機場網路不一定穩。

落地後如果沒先填，現場還要再掃碼補資料，真的會比較手忙腳亂。

建議：
出發前先填好 + 截圖存相簿
有 eSIM 的也先準備好，落地開網路會方便很多。

先存這篇，去越南前再看一次。",10,2,1,0,23,https://www.threads.net/@worldsimking/post/DXTRwj7gQDw,越南簽證,t1,商案文,2026-04-20
yanhe851,2026-04-20 06:20:03,2026-04-19,越南要簽證費 泰國免，去泰國吧,0,1,0,0,0,https://www.threads.net/@yanhe851/post/DXVGx1qEpWV,越南簽證,t1,其他,2026-04-20
chenjason18,2026-04-19 10:56:16,2026-04-19,"然後發現
1越南工人 不能趕走
2越南簽證 不能拒發 不然經濟會垮
3越南茶葉不能禁止，不然手搖飲都沒茶可賣了

只好出嘴震怒交待",15,1,0,0,0,https://www.threads.net/@chenjason18/post/DXTBmIjgawe,越南簽證,t1,其他,2026-04-20
ot_dogun,2026-04-19 11:11:42,2026-04-19,"越南居然說台灣是中國的
辱台太過份了
我不去越南了

這套路是不是很熟悉
好像某國不去日本一樣
結果我們心態比他們還炸
🤡🤡🤡",36,13,0,0,0,https://www.threads.net/@ot_dogun/post/DXTDXKAkaXz,越南簽證,t2,其他,2026-04-20
guog.uo37,2026-04-19 14:16:20,2026-04-19,接下來會不會有逃逸越南仔跟留學生配合搞亂呢？,90,26,8,1,7,https://www.threads.net/@guog.uo37/post/DXTYfb7mGzm,越南簽證,t2,其他,2026-04-20
yougonglin,2026-04-19 09:42:19,2026-04-19,"越南：台灣是中國的一部份。

- -

外交部震怒！！！然後呢？？？",1797,269,17,0,17,https://www.threads.net/@yougonglin/post/DXS5IadE5qN,越南簽證,t2,其他,2026-04-20
s_loeeeee,2026-04-19 11:01:31,2026-04-19,？現在20萬還能整鼻子嗎？,60,60,2,0,12,https://www.threads.net/@s_loeeeee/post/DXTCMf8Ev4s,越南簽證,t2,其他,2026-04-20
eevee520,2026-04-19 19:24:54,2026-04-19,"想詢問有去過環球影城的各位～
因為本人第一次去沒有去過，打算在6/16或17去，會建議有需要買快速通關的票嗎？或是有什麼推薦可玩或必玩的嗎？",4,4,1,0,0,https://www.threads.net/@eevee520/post/DXT7zaNk17W,快速通關,t2,主題樂園快速通關,2026-04-20
tyjls4851,2026-04-19 13:42:17,2026-04-19,"🛫 2026 日本入境超簡單攻略！Visit Japan Web 一碼搞定，快速通關不排隊！ 

台灣人去日本免簽90天，不用再手寫紙本入境卡 + 海關申報表，只要用 Visit Japan Web（VJW） 提前填好，就產生一個 QR Code，抵達日本掃碼就能走自助通關機，超省時！

抵達日本後：
掃 QR Code → 掃護照 → 指紋 + 拍照 → 完成入境審查 + 海關，一氣呵成！ 

沒用 VJW 就要手寫紙本，排隊會比較久。

出發前一天再檢查一次資料，買好 eSIM 或國際漫遊，落地就有網路～

有去日本的計畫嗎？可以分享你的行程～

#日本自由行 #VisitJapanWeb #日本入境 #2026日本旅行",747,51,101,5,1895,https://www.threads.net/@tyjls4851/post/DXTUl_zEnl6,快速通關,t2,其他,2026-04-20
dsproject2024,2026-04-19 13:22:05,2026-04-19,"售 日本環球影城1.5日門票+快速通關

早早規劃的家族旅遊，無奈計畫還是趕不上變化。 
部分家人因為臨時有別的行程無法前往，
所以想求售1.5日門票兩張+快速通關4x2。

1.5日券兩張(TICKET PRICE C，可入場日期至2026/8/5)
原價3,240購入，售2,500。兩張票共5,000。

5/8快速通關４(Minecart & JAWS)
原價3,000購入，售2,100。兩張票共4,200。

購買平台：KKday
匯款後提供PDF電子票券，可於入園時掃QR CODE
有需要可私訊我提供KKday購買證明。

我本人當天還是會去玩，只是幾位家人無法一起故求售，有問題都可以再詢問我喔！價格可談。",0,1,0,0,0,https://www.threads.net/@dsproject2024/post/DXTSSH9EqPl,快速通關,t2,商案文,2026-04-20
